# Created by auto-kappa
# 3ph scattering  : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.result
# Isotope      : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.self_isotope
# Temperature [K] : 50.00 to 1000.00
# Grain size [nm] : 3.16 to 100000.00
temperature[K],grain_size[nm],kave[W/mK],kxx[W/mK],kxy[W/mK],kxz[W/mK],kyx[W/mK],kyy[W/mK],kyz[W/mK],kzx[W/mK],kzy[W/mK],kzz[W/mK]
1.0000000e+02,6.3991523e+03,1.1328317e+01,1.1328227e+01,-1.5273642e-03,-1.2290470e-03,-1.5273642e-03,1.1328188e+01,-1.1879961e-03,-1.2290470e-03,-1.1879961e-03,1.1328536e+01
1.0000000e+02,7.9060432e+03,1.1435185e+01,1.1435095e+01,-1.5292818e-03,-1.2307937e-03,-1.5292818e-03,1.1435056e+01,-1.1896461e-03,-1.2307937e-03,-1.1896461e-03,1.1435404e+01
1.0000000e+02,9.7677811e+03,1.1527133e+01,1.1527042e+01,-1.5308391e-03,-1.2322124e-03,-1.5308391e-03,1.1527003e+01,-1.1909864e-03,-1.2322124e-03,-1.1909864e-03,1.1527352e+01
1.0000000e+02,1.2067926e+04,1.1605525e+01,1.1605435e+01,-1.5321030e-03,-1.2333639e-03,-1.5321030e-03,1.1605396e+01,-1.1920744e-03,-1.2333639e-03,-1.1920744e-03,1.1605744e+01
1.0000000e+02,1.4909717e+04,1.1671822e+01,1.1671731e+01,-1.5331282e-03,-1.2342981e-03,-1.5331282e-03,1.1671692e+01,-1.1929571e-03,-1.2342981e-03,-1.1929571e-03,1.1672041e+01
1.0000000e+02,1.8420700e+04,1.1727493e+01,1.1727403e+01,-1.5339595e-03,-1.2350557e-03,-1.5339595e-03,1.1727364e+01,-1.1936729e-03,-1.2350557e-03,-1.1936729e-03,1.1727713e+01
1.0000000e+02,2.2758459e+04,1.1773958e+01,1.1773867e+01,-1.5346332e-03,-1.2356697e-03,-1.5346332e-03,1.1773828e+01,-1.1942531e-03,-1.2356697e-03,-1.1942531e-03,1.1774177e+01
1.0000000e+02,2.8117687e+04,1.1812535e+01,1.1812445e+01,-1.5351792e-03,-1.2361674e-03,-1.5351792e-03,1.1812406e+01,-1.1947234e-03,-1.2361674e-03,-1.1947234e-03,1.1812755e+01
1.0000000e+02,3.4738921e+04,1.1844423e+01,1.1844333e+01,-1.5356216e-03,-1.2365706e-03,-1.5356216e-03,1.1844294e+01,-1.1951044e-03,-1.2365706e-03,-1.1951044e-03,1.1844643e+01
1.0000000e+02,4.2919343e+04,1.1870684e+01,1.1870593e+01,-1.5359799e-03,-1.2368972e-03,-1.5359799e-03,1.1870555e+01,-1.1954131e-03,-1.2368972e-03,-1.1954131e-03,1.1870904e+01
1.0000000e+02,5.3026113e+04,1.1892243e+01,1.1892153e+01,-1.5362701e-03,-1.2371617e-03,-1.5362701e-03,1.1892114e+01,-1.1956631e-03,-1.2371617e-03,-1.1956631e-03,1.1892463e+01
1.0000000e+02,6.5512856e+04,1.1909897e+01,1.1909807e+01,-1.5365051e-03,-1.2373759e-03,-1.5365051e-03,1.1909768e+01,-1.1958655e-03,-1.2373759e-03,-1.1958655e-03,1.1910117e+01
1.0000000e+02,8.0940012e+04,1.1924323e+01,1.1924233e+01,-1.5366953e-03,-1.2375494e-03,-1.5366953e-03,1.1924194e+01,-1.1960294e-03,-1.2375494e-03,-1.1960294e-03,1.1924543e+01
1.0000000e+02,1.0000000e+05,1.1936090e+01,1.1936000e+01,-1.5368494e-03,-1.2376898e-03,-1.5368494e-03,1.1935961e+01,-1.1961622e-03,-1.2376898e-03,-1.1961622e-03,1.1936310e+01
1.5000000e+02,3.1622777e+00,7.9031378e-01,7.9030217e-01,-1.9252082e-04,-1.3296607e-04,-1.9252082e-04,7.9024834e-01,-1.4499022e-04,-1.3296607e-04,-1.4499022e-04,7.9039081e-01
1.5000000e+02,3.9069399e+00,9.3338175e-01,9.3336818e-01,-2.2500148e-04,-1.5680326e-04,-2.2500148e-04,9.3330964e-01,-1.6947497e-04,-1.5680326e-04,-1.6947497e-04,9.3346744e-01
1.5000000e+02,4.8269574e+00,1.0953991e+00,1.0953833e+00,-2.6112978e-04,-1.8366828e-04,-2.6112978e-04,1.0953205e+00,-1.9670447e-04,-1.8366828e-04,-1.9670447e-04,1.0954936e+00
1.5000000e+02,5.9636233e+00,1.2768529e+00,1.2768346e+00,-3.0082498e-04,-2.1358118e-04,-3.0082498e-04,1.2767681e+00,-2.2661478e-04,-2.1358118e-04,-2.2661478e-04,1.2769561e+00
1.5000000e+02,7.3679546e+00,1.4777036e+00,1.4776825e+00,-3.4388523e-04,-2.4646491e-04,-3.4388523e-04,1.4776129e+00,-2.5905416e-04,-2.4646491e-04,-2.5905416e-04,1.4778155e+00
1.5000000e+02,9.1029818e+00,1.6973044e+00,1.6972802e+00,-3.8998468e-04,-2.8213604e-04,-3.8998468e-04,1.6972083e+00,-2.9378418e-04,-2.8213604e-04,-2.9378418e-04,1.6974248e+00
1.5000000e+02,1.1246578e+01,1.9343532e+00,1.9343256e+00,-4.3867855e-04,-3.2030241e-04,-4.3867855e-04,1.9342521e+00,-3.3048671e-04,-3.2030241e-04,-3.3048671e-04,1.9344819e+00
1.5000000e+02,1.3894955e+01,2.1868879e+00,2.1868566e+00,-4.8941524e-04,-3.6056796e-04,-4.8941524e-04,2.1867823e+00,-3.6877507e-04,-3.6056796e-04,-3.6877507e-04,2.1870247e+00
1.5000000e+02,1.7166979e+01,2.4523329e+00,2.4522978e+00,-5.4155422e-04,-4.0244398e-04,-5.4155422e-04,2.4522234e+00,-4.0820686e-04,-4.0244398e-04,-4.0820686e-04,2.4524777e+00
1.5000000e+02,2.1209509e+01,2.7275999e+00,2.7275608e+00,-5.9438809e-04,-4.4536537e-04,-5.9438809e-04,2.7274867e+00,-4.4829659e-04,-4.4536537e-04,-4.4829659e-04,2.7277522e+00
1.5000000e+02,2.6203985e+01,3.0092383e+00,3.0091951e+00,-6.4716822e-04,-4.8871107e-04,-6.4716822e-04,3.0091218e+00,-4.8852757e-04,-4.8871107e-04,-4.8852757e-04,3.0093979e+00
1.5000000e+02,3.2374575e+01,3.2936262e+00,3.2935790e+00,-6.9913372e-04,-5.3182814e-04,-6.9913372e-04,3.2935069e+00,-5.2836447e-04,-5.3182814e-04,-5.2836447e-04,3.2937927e+00
